Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2016,Judson and Joyce Green,Illinois,"Entertainment, Hotels, Technology",Dr. Phillips Orlando Performing Arts Center (Fla.),Florida,Arts,Pledge,"$5,000,000 "
2016,Peter F. and Joan Secchia,Michigan,"Industry, Manufacturing",Michigan State U. (East Lansing),Michigan,Colleges and universities,,"$5,000,000 "
2016,Mike Jarvis,Indiana,Manufacturing,Ivy Tech Community College (Indianapolis),Indiana,Colleges and universities,Gift,"$5,000,000 "
2016,Simmons family,Arkansas,Food and beverage,"John Brown U. (Siloam Springs, Ark.)",Arkansas,Colleges and universities,,"$5,000,000 "
2016,Anonymous,,,Vanderbilt U. (Nashville),Tennessee,Colleges and universities,Pledge,"$5,000,000 "
2016,Frank and Mary Jane Semcer,New Jersey,Manufacturing,"Stevens Institute of Technology (Hoboken, N.J.)",New Jersey,Colleges and universities,,"$5,000,000 "
2016,Leonard and Lynne Barrack,Pennsylvania,Law,Temple U. (Philadelphia),Pennsylvania,Colleges and universities,,"$5,000,000 "
2016,John Edwardson,Illinois,Industry,U. of Chicago,Illinois,Colleges and universities,,"$5,000,000 "
2016,Kay Bucksbaum,Illinois,,Grinnel College (Iowa),Iowa,Colleges and universities,Pledge,"$5,000,000 "
2016,Anonymous,,,Catholic U. of America (Washington),District of Columbia,Colleges and universities,,"$5,000,000 "
2016,Joe Della Ratta,Maryland,,Catholic U. of America (Washington),District of Columbia,Colleges and universities,,"$5,000,000 "
2016,Patrick and Mary Ann Pfaff Murray,Texas,Manufacturing,"Seton Hall U. (South Orange, N.J.)",New Jersey,Colleges and universities,,"$5,000,000 "
2016,Robert and Barbara Campbell,Florida,Manufacturing,Florida Atlantic U. (Boca Raton),Florida,Colleges and universities,,"$5,000,000 "
2016,Anonymous,,,"Newman U. (Wichita, Kan.)",Kansas,Colleges and universities,,"$5,000,000 "
2016,Andrew J. Viterbi,California,Technology,Old Globe Theatre (San Diego),California,Arts,,"$5,000,000 "
2016,Tobee Kaplan,North Carolina,Chemicals,U. of North Carolina at Greensboro,North Carolina,Colleges and universities,,"$5,000,000 "
2016,Bita Daryabari,California,Telecommunications,U. of California at Berkeley,California,Colleges and universities,,"$5,000,000 "
2016,David and June Trone,Maryland,Food and beverage,"U. of Pennsylvania, Wharton School (Philadelphia)",Pennsylvania,Colleges and universities,,"$5,000,000 "
2016,Carol Lavin Bernick Family Foundation (Carol Lavin Bernick),Illinois,"Finance, Manufacturing",Tulane U. (New Orleans),Louisiana,Colleges and universities,Pledge,"$5,000,000 "
2016,Posner family,Pennsylvania,"Advertising, Investments",Carnegie Mellon U. (Pittsburgh),Pennsylvania,Colleges and universities,,"$5,000,000 "
2016,Calvin E. and Tina Tyler,,,Morgan State U. (Baltimore),Maryland,Colleges and universities,,"$5,000,000 "
2016,David Mussafer,Massachusetts,Finance,Tulane U. (New Orleans),Louisiana,Colleges and universities,,"$5,000,000 "
2016,Harold Marcus,,,U. of West Florida (Pensacola),Florida,Colleges and universities,,"$5,000,000 "
2016,Harvey and Harriet Bookstein,California,Finance,California State U. at Northridge,California,Colleges and universities,Gift,"$5,000,000 "
2016,Martha Heasley Cox,,Education,San Jose State U. (Calif.),California,Colleges and universities,Bequest,"$4,800,000 "
2016,Mary Livingston Griggs and Mary Griggs Burke Foundation (Mary Griggs Burke),New York,Family wealth,Japan Society (New York),New York,Museums and libraries,Bequest,"$4,500,000 "
2016,Anonymous,,,"Angelo State U. (San Angelo, Tex.)",Texas,Colleges and universities,Gift,"$4,500,000 "
2016,Robert K. Burgess,,Construction,Michigan State U. (East Lansing),Michigan,Colleges and universities,Pledge,"$4,500,000 "
2016,Hardymon Foundation (James and Gay Hardymon),Rhode Island,Manufacturing,U. of Kentucky College of Engineering (Lexington),Kentucky,Colleges and universities,,"$4,500,000 "
2016,John and Jody Gottfried Arnhold,,Education,Columbia U. Teachers College (New York),New York,Colleges and universities,,"$4,360,000 "
2016,Mary Andrews Haag,California,Real estate,U. of California at San Diego,California,Colleges and universities,Bequest,"$4,300,000 "
2016,Samuel W. and Goldye Marian Spain,,,Rice U. (Houston),Texas,Colleges and universities,Bequest,"$4,100,000 "
2016,Manton Foundation (Edwin Manton),New York,Insurance,"Discovery Museums (Acton, Mass.)",Massachusetts,Museums and libraries,ChallengeGift,"$4,000,000 "
2016,Wayne and Joan Webber,Michigan,Construction,"Henry Ford Macomb Hospitals (Clinton Township, Mich.)",Michigan,Health,Gift,"$4,000,000 "
2016,Garman family,New York,,State U. of New York at Buffalo,New York,Colleges and universities,,"$4,000,000 "
2016,Virgil Elings,California,,"Ridley-Tree Cancer Center (Santa Barbara, Calif.)",California,Health,Gift,"$4,000,000 "
2016,Robert and Beth Sparboe Schnell,,Finance,"Gustavus Adolphus College (St. Peter, Minn.)",Minnesota,Colleges and universities,,"$4,000,000 "
2016,Dennis A. and Jeanne LeVett,California,Real estate,Palo Alto Medical Foundation (Calif.),California,Health,Gift,"$4,000,000 "
2016,James Hogan,Michigan,Advertising,Alma College (Mich.),Michigan,Colleges and universities,Pledge,"$4,000,000 "
2016,Joe and Anne Russell,Missouri,Retail,Belmont U. (Nashville),Tennessee,Colleges and universities,,"$4,000,000 "
2016,Rebecca and Thomas Bergman,Minnesota,"Education, Health care","Gustavus Adolphus College (St. Peter, Minn.)",Minnesota,Colleges and universities,Pledge,"$4,000,000 "
2016,Anonymous,,,"Sutter Health, Alta Bates Summit Medical Center (Oakland, Calif.)",California,Health,Gift,"$4,000,000 "
2016,Maryanne Trump Barry,Pennsylvania,Law,Fairfield U. (Conn.),Connecticut,Colleges and universities,Gift,"$4,000,000 "
2016,Robert Morin,,,U. of New Hampshire (Durham),New Hampshire,Colleges and universities,BequestUnrestricted,"$4,000,000 "
2016,Anonymous,,,"Thomas More College (Crestview Hills, Ky.)",Kentucky,Colleges and universities,GiftChallenge,"$4,000,000 "
2016,John and Ruth Huss,Minnesota,Finance,"Wesleyan U. (Middletown, Conn.)",Connecticut,Colleges and universities,Gift,"$4,000,000 "
2016,Alfred E. Mann,Nevada,Health care,Walter W. Naumberg Foundation (New York),New York,Foundations,Bequest,"$4,000,000 "
2016,Neubauer Family Foundation (Joseph Neubauer),Pennsylvania,Food and beverage,U. of Chicago Booth School of Business,,Colleges and universities,Gift,"$4,000,000 "
2016,C. Michael Garver,Texas,Construction,U. of Kentucky College of Engineering (Lexington),Kentucky,Colleges and universities,Pledge,"$4,000,000 "
2016,Irving Kuraner,,Law,U. of Kansas (Lawrence),Kansas,Colleges and universities,,"$4,000,000 "
2016,Farzaneh Family Foundation (Jalal and Mohammad Farzaneh),Oklahoma,Real estate,U. of Oklahoma (Norman),Oklahoma,Colleges and universities,,"$4,000,000 "
2016,Elaine Baskin and Ken Krechmer,California,Telecommunications,U. of Colorado at Boulder,Colorado,Colleges and universities,Pledge,"$4,000,000 "
2016,Leonard D. Schaeffer,California,Insurance,U. of Southern California (Los Angeles),California,Colleges and universities,,"$4,000,000 "
2016,George Soros and Gary Gladstein and Phyllis Gladstein,New York,"Finance, Investments",U. of Connecticut (Storrs),Connecticut,Colleges and universities,,"$4,000,000 "
2016,Howard G. Buffett,Illinois,Family wealth,Decatur Park District (Ill.),Illinois,Other groups,Gift,"$3,900,000 "
2016,Samerian Foundation (Cindy Simon and Paul Skjodt),Indiana,Real estate,Riley Children's Foundation (Indianapolis),Indiana,Health,Gift,"$3,800,000 "
2016,Anonymous,,,"Gustavus Adolphus College (St. Peter, Minn.)",Minnesota,Colleges and universities,,"$3,700,000 "
2016,Elizabeth Stevens,Massachusetts,Investments,Cape Cod Hospital,,Health,Bequest,"$3,600,000 "
2016,Dave and Gail Liniger,Colorado,Real estate,Colorado State U. (Fort Collins),Colorado,Colleges and universities,Gift,"$3,530,000 "
2016,Peter and Julie Cummings,Michigan,Real estate,Detroit Symphony Orchestra,Michigan,Arts,Gift,"$3,500,000 "
2016,Harold Feinbloom,New York,Retail,Memorial Art Galley of the U. of Rochester (N.Y.),New York,Arts,Gift,"$3,500,000 "
2016,Elie and Sarah Hirschfield,New York,Real estate,"Brown U. (Providence, R.I.)",Rhode Island,Colleges and universities,,"$3,500,000 "
2016,Dennis & Phyllis Washington Foundation (Dennis R. and Phyllis Washington),Montana,Investments,Montana Digital Academy (Missoula),Montana,Education,Gift,"$3,500,000 "
2016,Donald and Frances Herdrich,,Investments,Marquette U. (Milwaukee),Wisconsin,Colleges and universities,,"$3,500,000 "
2016,Max M. and Marjorie S. Fisher,Florida,Oil,Detroit Symphony Orchestra,Michigan,Arts,Bequest,"$3,500,000 "
2016,Joseph Shafer,Georgia,Retail,"Gwinnett Medical Center Foundation (Lawrenceville, Ga.)",Georgia,Health,Bequest,"$3,500,000 "
2016,Amber Heard,California,Entertainment,Children's Hospital Los Angeles,California,Health,Gift,"$3,500,000 "
2016,Amber Heard,California,Entertainment,American Civil Liberties Union (New York),New York,Other groups,Gift,"$3,500,000 "
2016,Anonymous,,,"Wake Forest U. Baptist Medical Center (Winston-Salem, N.C.)",North Carolina,Colleges and universities,Gift,"$3,500,000 "
2016,Jane Wardwell Roberts,New Hampshire,Engineering,"Kingswood-Oxford School (West Hartford, Conn.)",Connecticut,Education,Bequest,"$3,500,000 "
2016,Wayne K. Jennings,Indiana,Agriculture,Ivy Tech Community College (Indianapolis),Indiana,Colleges and universities,Bequest,"$3,500,000 "
2016,Joseph M. Mattone Sr.,New York,Real estate,"St. John's U., School of Law (New York)",New York,Colleges and universities,,"$3,500,000 "
2016,Wint and Nancy Winter,Kansas,Law,U. of Kansas Endowment (Lawrence),Kansas,Colleges and universities,Bequest,"$3,500,000 "
2016,Ruth Person,,Education,Indiana U. at Kokomo,Indiana,Colleges and universities,Pledge,"$3,500,000 "
2016,Anonymous,,,Drexel U. (Philadelphia),Pennsylvania,Colleges and universities,,"$3,500,000 "
2016,Guru and Anupama Ramakrishnan,New York,Finance,U. of Chicago,Illinois,Colleges and universities,,"$3,500,000 "
2016,Doris E. Schwartz,Pennsylvania,Investments,York County Community Foundation (Pa.),Pennsylvania,Community foundations,Bequest,"$3,400,000 "
2016,Joe and Barbara Ann Swann,,Engineering,Clemson U. (S.C.),South Carolina,Colleges and universities,,"$3,300,000 "
2016,Howard and Char Beales,,"Education, Finance",George Washington U. (Washington),District of Columbia,Colleges and universities,Pledge,"$3,200,000 "
2016,Marilyn Stein,Colorado,Investments,U. of Denver,Colorado,Colleges and universities,Bequest,"$3,200,000 "
2016,Ted Couch,Florida,Real estate,"Jesuit High School (Tampa, Fla.)",Florida,Education,Pledge,"$3,150,000 "
2016,Anonymous,,,U. of Missouri at Columbia,Missouri,Colleges and universities,Pledge,"$3,100,000 "
2016,James C. Kennedy,Georgia,Media and entertainment,Colorado State U. (Fort Collins),Colorado,Colleges and universities,,"$3,100,000 "
2016,Tracy Winfree and Ted McCourtney,New York,Investments,Pennsylvania State U. (University Park),Pennsylvania,Colleges and universities,,"$3,000,000 "
2016,Donald L. Jordan,,Real estate,"Columbus State U., College of Letters and Sciences (Ga.)",Georgia,Colleges and universities,,"$3,000,000 "
2016,Patricia and Mark Joseph,Maryland,Real estate,Baltimore School for the Arts,Maryland,Education,Gift,"$3,000,000 "
2016,Rick Steves,Washington,Media and entertainment,Edmonds Waterfront Center (Wash.),Washington,Human and social services,GiftPledge,"$3,000,000 "
2016,David M. Rubenstein,Maryland,Finance,National Park Foundation (Washington),District of Columbia,Historic preservation,Pledge,"$3,000,000 "
2016,Ralph C. and Shelly Stayer,Wisconsin,Food and beverage,"Shelter for Abused Women (Naples, Fla.)",Florida,Human and social services,Gift,"$3,000,000 "
2016,Chris G. Carlos,,Investments,"Emory U., Carlos Museum (Atlanta)",Georgia,Museums and libraries,Gift,"$3,000,000 "
2016,Ed Dowd,California,Real estate,National Multiple Sclerosis Society (New York),New York,Health,Gift,"$3,000,000 "
2016,David Couch and Stephanie Quayle,North Carolina,Real estate,High Point U. (N.C.),North Carolina,Colleges and universities,,"$3,000,000 "
2016,William H. Flanagan,Connecticut,Manufacturing,Massachusetts Maritime Academy (Buzzards Bay),Massachusetts,Education,Pledge,"$3,000,000 "
2016,Willard Gillespie,Kentucky,Health care,Kentucky Wesleyan College (Owensboro),Kentucky,Colleges and universities,Bequest,"$3,000,000 "
2016,Jeff and Tricia Raikes,Washington,Technology,Nebraska Food for Health Center (Lincoln),Nebraska,Health,GiftChallenge,"$3,000,000 "
2016,Jay and Randy Fishman,New York,Insurance,U. of Pennsylvania Medicine (Philadelphia),Pennsylvania,Colleges and universities,Gift,"$3,000,000 "
2016,Ernest and Sarah Butler,Texas,Health care,Ballet Austin (Tex.),Texas,Arts,Gift,"$3,000,000 "
2016,Raymond and John Erickson,South Dakota,Agriculture,Winner Regional Healthcare Center (S.D.),South Dakota,Health,Bequest,"$3,000,000 "
2016,Robert and Judy Fleming,,Commodities,Florida State U. Panama City,Florida,Colleges and universities,Pledge,"$3,000,000 "
2016,William H. and Barbara Flanagan,Connecticut,Manufacturing,Massachusetts Maritime Academy (Buzzards Bay),Massachusetts,Colleges and universities,Pledge,"$3,000,000 "
2016,Oreste (Russ) Zanni,Massachusetts,Health care,Case Western Reserve U. (Cleveland),Ohio,Colleges and universities,Bequest,"$3,000,000 "
2016,Anonymous,,,North Dakota State U. (Fargo),North Dakota,Colleges and universities,ChallengeGift,"$3,000,000 "
2016,Janet G. Cohen,Florida,"Law, Real estate",Golisano Children's Hospital of Southwest Florida (Ft. Myers),Florida,Health,Gift,"$3,000,000 "
2016,Joe Capitano Sr. and Joe Capitano Jr. and Frank Capitano,Florida,Retail,"Jesuit High School (Tampa, Fla.)",Florida,Education,,"$3,000,000 "
2016,James M. Stockman,Maryland,Retail,Frederick Memorial Hospital (Md.),Maryland,Health,Gift,"$3,000,000 "
2016,Earnest W. Deavenport Jr. and Mary Ann Deavenport,South Carolina,Chemicals,Mississippi State U.,Mississippi,Colleges and universities,Gift,"$3,000,000 "
2016,Steven A. and Alexandra M. Cohen,Connecticut,Finance,Institute for Systems Biology (Seattle),Washington,Science,Pledge,"$3,000,000 "
2016,Steven A. and Alexandra M. Cohen Foundation (Steven A. and Alexandra M. Cohen),Connecticut,Finance,Children's Hospital Los Angeles,California,Health,,"$3,000,000 "
2016,Milo Albrecht,Illinois,"Agriculture, Investments",Goshen College (Ind.),Indiana,Colleges and universities,BequestNoncash,"$3,000,000 "
2016,Anonymous,,,"Morton Arboretum (Lisle, Ill.)",Illinois,Conservation and the environment,,"$3,000,000 "
2016,Jane Wardwell Roberts,New Hampshire,Engineering,"Sage Colleges (Troy, N.Y.)",New York,Colleges and universities,Bequest,"$3,000,000 "
2016,Anonymous,,,U. of Missouri at Kansas City,Missouri,Colleges and universities,Gift,"$3,000,000 "
2016,Myra Janco Daniels,Florida,,Florida Gulf Coast U. (Fort Myers),Florida,Colleges and universities,,"$3,000,000 "
2016,Jayne Jackson,,"Government, Law",Arkansas Zoological Foundation (Little Rock),Arkansas,Zoos and aquariums,Bequest,"$3,000,000 "
2016,Ed Dowd,California,Real estate,National Multiple Sclerosis Society (New York),New York,Health,,"$3,000,000 "
2016,Green family,,Health care,Shriners Hospital for Children in Boston,Massachusetts,Health,,"$3,000,000 "
2016,Peter M. Kolls and Geraldine Schaeffer,Virginia,Professional Sports,"Melwood (Upper Marlboro, Md.)",Maryland,Social services,Bequest,"$3,000,000 "
2016,Bob and Holly Miller,Vermont,Real estate,U. of Vermont College of Medicine (Burlington),Vermont,Colleges and universities,,"$3,000,000 "
2016,Carol Stillwell,,Health care,"Meridian Health (Red Bank, N.J.)",New Jersey,Health,,"$3,000,000 "
2016,Michael and Kathy Mouron,Alabama,Real estate,U. of Alabama at Tuscaloosa,Alabama,Colleges and universities,,"$3,000,000 "
2016,Anonymous,,,Zoo Atlanta,Georgia,Zoos and aquariums,,"$3,000,000 "
2016,Todd and Shelley Simmons,Arkansas,Food and beverage,"The New School (Fayetteville, Ark.)",Arkansas,Education,Pledge,"$3,000,000 "
2016,Richard and Susan Smith Family Foundation (Susan and Richard Smith),Massachusetts,Retail,Martin Richard Foundation (Boston),Massachusetts,Other groups,Pledge,"$3,000,000 "
2016,Richard Sherman,Florida,Agriculture,College of Central Florida Foundation (Ocala),Florida,Colleges and universities,GiftNoncash,"$2,900,000 "
2016,Jacob Price,Michigan,Education,U. of Michigan at Ann Arbor,Michigan,Colleges and universities,Bequest,"$2,900,000 "
2016,Clyde and Helen Wu,,Health care,Detroit Symphony Orchestra,Michigan,Arts,Bequest,"$2,900,000 "
2016,Frank and Ellen Daveler,Florida,Engineering,U. of South Florida (Tampa),Florida,Colleges and universities,,"$2,900,000 "
2016,Anonymous,,,"Featherstone Center for the Arts (Oak Bluffs, Mass.)",Massachusetts,Arts,,"$2,870,000 "
2016,Doris Stormyr Anderson,North Carolina,,"Wake Forest U. Baptist Medical Center (Winston-Salem, N.C.)",North Carolina,Colleges and universities,Bequest,"$2,800,000 "
2016,Anthony Marnell III,Nevada,Finance,U. of Nevada at Las Vegas Foundation,Nevada,Colleges and universities,Gift,"$2,750,000 "
2016,David Beals Charitable Trust (David Beals),Missouri,,Kansas City Symphony (Mo.),Missouri,Arts,Bequest,"$2,700,000 "
2016,Barry and Marge Slayton,Missouri,"Agriculture, Finance",U. of Missouri at Kansas City,Missouri,Colleges and universities,Pledge,"$2,650,000 "
2016,Helen Harney Crittenden,California,Government,"U. of the Pacific (Stockton, Calif.)",California,Colleges and universities,Bequest,"$2,600,000 "
2016,Anonymous,,,U. of Scranton (Pa.),Pennsylvania,Colleges and universities,,"$2,600,000 "
2016,Ron and Sharon Matthews,North Carolina,Food and beverage,"Methodist U. (Fayetteville, N.C.)",North Carolina,Colleges and universities,Gift,"$2,500,000 "
2016,Robert V. Nicoletti,Pennsylvania,Real estate,Jefferson University Hospital (Philadelphia),Pennsylvania,Health,Bequest,"$2,500,000 "
2016,Franklin Moore,Michigan,Food and beverage,"Community Foundation of St. Clair County (Port Huron, Mich.)",Michigan,Community foundations,Gift,"$2,500,000 "
2016,Peter and Nancy Salter,,Health products,"U. of Arizona, Eller College of Management (Tucson)",Arizona,Colleges and universities,,"$2,500,000 "
2016,Eugene Colef,Michigan,Family wealth,Kalamazoo Public Library (Mich.),Michigan,Museums and libraries,BequestUnrestricted,"$2,500,000 "
2016,George W. Hamlin IV and Mary Hamlin,New York,Finance,"Eastman School of Music (Rochester, N.Y.)",New York,Colleges and universities,Gift,"$2,500,000 "
2016,David Price,,Professional Sports,Vanderbilt U. (Nashville),Tennessee,Colleges and universities,,"$2,500,000 "
2016,LeBron James Family Foundation (LeBron James),Ohio,Professional Sports,"Smithsonian Institution, National Museum of African American History and Culture (Washington)",District of Columbia,Museums and libraries,Gift,"$2,500,000 "
2016,Anonymous,,,Boston U.,Massachusetts,Colleges and universities,,"$2,500,000 "
2016,Joy Frieman,California,Government,U. of California at San Diego,California,Colleges and universities,Gift,"$2,500,000 "
2016,Anonymous,,,Catholic U. of America (Washington),District of Columbia,Colleges and universities,,"$2,500,000 "
2016,Gail and Michelle LaRose,Virginia,,Elon U. (N.C.),North Carolina,Colleges and universities,,"$2,500,000 "
2016,Joel Smilow,Connecticut,Manufacturing,"Achievement First (New Haven, Conn.)",Connecticut,Education,Gift,"$2,500,000 "
2016,Kinder Foundation (Richard and Nancy Kinder),Texas,Energy,Spark School Park Program (Houston),Texas,Other groups,Gift,"$2,500,000 "
2016,Stuart and Joanna Armiger Edwards,Maryland,Technology,Loyola U. Maryland (Baltimore),Maryland,Colleges and universities,Gift,"$2,500,000 "
2016,Ronnie D. Planalp and Stephen S. Trevor,New York,Entertainment,Columbia U. (New York),New York,Colleges and universities,Gift,"$2,500,000 "
2016,Melvin and Dollie Younts,,"Law, Real estate",Clemson U. (S.C.),South Carolina,Colleges and universities,Pledge,"$2,500,000 "
2016,James and Cathleen Stone,Massachusetts,"Insurance, Law","City U. of New York, Graduate Center",New York,Colleges and universities,Gift,"$2,500,000 "
2016,Jeff Tickle,Tennessee,Investments,"James Madison U. (Harrisonburg, Va.)",Virginia,Colleges and universities,Gift,"$2,500,000 "
2016,James and Marilyn Simons,New York,Finance,Morehouse College (Atlanta),Georgia,Colleges and universities,Pledge,"$2,500,000 "
2016,John and Diane Kim,New York,Insurance,"New England Center for Children (Southborough, Mass.)",Massachusetts,Health,Gift,"$2,500,000 "
2016,Clark Family Foundation (Clark family),,,Arkansas Children's Hospital (Little Rock),Arkansas,Health,,"$2,500,000 "
2016,Michael and Robyn Nieri,South Carolina,Construction,Clemson U. (S.C.),South Carolina,Colleges and universities,Gift,"$2,500,000 "
2016,Charlotte Feng Ford,,,"Smith College (Northampton, Mass.)",Massachusetts,Colleges and universities,,"$2,500,000 "
2016,Anonymous,,,U. of Alabama at Birmingham,Alabama,Colleges and universities,Gift,"$2,500,000 "
2016,Anonymous,,,Davidson College (N.C.),North Carolina,Colleges and universities,Gift,"$2,500,000 "
2016,Warren and Allison Kanders,,Manufacturing,Aspen Music Festival and School (Colo.),Colorado,Arts,,"$2,500,000 "
2016,Argyros Family Foundation (George and Julia Argyros),California,Real estate,"Croswell Opera House (Adrian, Mich.)",Michigan,Arts,,"$2,500,000 "
2016,Jeff and Marianne Silver,,Transportation,Massachusetts Institute of Technology (Cambridge),Massachusetts,Colleges and universities,,"$2,500,000 "
2016,Stuart and Joanna Armiger Edwards,Maryland,Technology,Loyola U. Maryland (Baltimore),Maryland,Colleges and universities,Pledge,"$2,500,000 "
2016,John and Becky Duffey,Illinois,Entertainment,Michigan State U. (East Lansing),Michigan,Colleges and universities,Pledge,"$2,500,000 "
2016,Andrew and Kirsten Braccia,,Finance,U. of Arizona (Tucson),Arizona,Colleges and universities,Pledge,"$2,500,000 "
2016,Charles (Buddy) Miller III and Pinney Allen,,Telecommunications,Auburn U. (Ala.),Alabama,Colleges and universities,,"$2,500,000 "
2016,Martha Davis,Indiana,,Goodwill Industries Foundation of Central Indiana (Indianapolis),Indiana,Social services,Bequest,"$2,500,000 "
2016,Alfred Lewis and Hope Galloway Aydelott,Tennessee,Industry,Auburn U. (Ala.),Alabama,Colleges and universities,Bequest,"$2,400,000 "
2016,Jeffrey A. and Patricia O'Brien Cole,Florida,Health products,University Hospitals (Cleveland),Ohio,Health,Gift,"$2,325,000 "
2016,Ruth McConnell,California,Investments,"Miami U. (Oxford, Ohio)",Ohio,Colleges and universities,Bequest,"$2,300,000 "
2016,Lee and Elizabeth Pearl,Washington,Real estate,United States Holocaust Memorial Museum (Washington),District of Columbia,Museums and libraries,Bequest,"$2,300,000 "
2016,Jeffrey and Patricia O'Brien Cole,Florida,Health products,Cleveland Clinic in Florida (Weston),Florida,Health,Gift,"$2,250,000 "
2016,Russell and Joyce Slone Weigand,,,Elmhurst College (Ill.),Illinois,Colleges and universities,Pledge,"$2,250,000 "
2016,Ray and Carole Neag,Connecticut,"Health products, Manufacturing","Alvernia College (Reading, Pa.)",Pennsylvania,Colleges and universities,Gift,"$2,250,000 "
2016,Anonymous,,,Binghamton U. (N.Y.),New York,Colleges and universities,,"$2,200,000 "
2016,Appignani Foundation (Louis Appignani),,,"U. of Miami (Coral Gables, Fla.)",Florida,Colleges and universities,,"$2,200,000 "
2016,Anonymous,,,"Newman U. (Wichita, Kan.)",Kansas,Colleges and universities,,"$2,200,000 "
2016,Hilja Herfurth,Colorado,Mineral exploration,Colorado School of Mines Geology Museum (Golden),Colorado,Museums and libraries,Bequest,"$2,150,000 "
2016,Russ Gremel,Illinois,Investments,Illinois Audubon Society (Springfield),Illinois,Conservation and the environment,NoncashGift,"$2,100,000 "
2016,David T. Beals III Charitable Trust (David T. Beals III),Missouri,Investments,"Nature Conservancy, Kansas Chapter",,Conservation and the environment,Bequest,"$2,000,000 "
2016,Robert and Barbara Frick,California,"Finance, Real estate","Washington U. in St. Louis, Olin Business School",Missouri,Colleges and universities,,"$2,000,000 "
2016,Victor J. Cohn,Ohio,Real estate,Cleveland Clinic,Ohio,Health,Gift,"$2,000,000 "
2016,Ken Rittmann,Indiana,Manufacturing,City of Russiaville (Ind.),Indiana,Other groups,NoncashGift,"$2,000,000 "
2016,Jan Hunter,,,Midway U. (Ky.),Kentucky,Colleges and universities,Pledge,"$2,000,000 "
2016,David Lewis,Missouri,Investments,"Starr King School for the Ministry (Berkeley, Calif.)",California,Religious groups,Bequest,"$2,000,000 "
2016,Ken Grossman and Katie Gosner,California,Food and beverage,U. of California at Davis,California,Colleges and universities,Gift,"$2,000,000 "
2016,Anonymous,,,St. Joseph Mercy Ann Arbor (Mich.),Michigan,Health,,"$2,000,000 "
2016,Douglas and Jane Seibel,,,"Bethel College (North Newton, Kan.)",Kansas,Colleges and universities,Pledge,"$2,000,000 "
2016,Terry and Stan Freerks,Missouri,Health care,U. of Missouri at St. Louis,Missouri,Colleges and universities,Pledge,"$2,000,000 "
2016,Jay H. and Patty Baker,Florida,Retail,"Baker Park (Naples, Fla.)",Florida,Other groups,Gift,"$2,000,000 "
2016,Don and Willie Tykeson,Oregon,Telecommunications,"John G. Shedd Institute for the Arts (Eugene, Ore.)",Oregon,Arts,Gift,"$2,000,000 "
2016,William and Stephanie Sick,Illinois,Technology,School of the Art Institute of Chicago,Illinois,Colleges and universities,,"$2,000,000 "
2016,Steven L. and Carol Aaron,Texas,Transportation,"Legacy Senior Communities (Plano, Tex.)",Texas,Human and social services,Gift,"$2,000,000 "
2016,Shamim and Ashraf M. Dahod,Massachusetts,,Boston U.,Massachusetts,Colleges and universities,,"$2,000,000 "
2016,Oaz Nir,New York,"Investments, Technology",Wilmington Family YMCA (N.C.),North Carolina,Sports and recreation,Gift,"$2,000,000 "
2016,Carter Family Foundation (Robert and Diana Carter),Minnesota,Finance,"Metropolitan State U. Foundation (Saint Paul, Minn.)",Minnesota,Colleges and universities,,"$2,000,000 "
2016,David A. and Linda Stein,Florida,Food and beverage,United Way of Northeast Florida (Jacksonville),Florida,Human and social services,Pledge,"$2,000,000 "
2016,Kemper Freeman Jr.,Washington,Real estate,Bellevue Arts Museum (Wash.),Washington,Arts,GiftChallenge,"$2,000,000 "
2016,Ralph and Barbara Hamilton,Tennessee,Health care,Memphis Theological Seminary,Tennessee,Religious groups,Gift,"$2,000,000 "
2016,Gary and Ellen Davis,Connecticut,"Finance, Investments",Weill Medical College of Cornell U. (New York),New York,Health,Gift,"$2,000,000 "
2016,Willard and Pat Walker Charitable Foundation (Pat Walker),Arkansas,Retail,"Walton Arts Center (Fayetteville, Ark.)",Arkansas,Arts,Bequest,"$2,000,000 "
2016,Eugene V. and Clare E. Thaw Charitable Trust (Eugene V. and Clare E. Thaw),New Mexico,Investments,"Clark Art Institute (Williamstown, Mass.)",Massachusetts,Arts,Gift,"$2,000,000 "
2016,Gary and Ellen Davis,Connecticut,"Finance, Investments",Weill Medical College of Cornell U. (New York),New York,Colleges and universities,,"$2,000,000 "
2016,Howard G. Buffett,Illinois,Family wealth,"Scovill Zoo (Decatur, Ill.)",Illinois,Zoos and aquariums,Gift,"$2,000,000 "
2016,Evelyn V. Hess,,Education,U. of Cincinnati,Ohio,Colleges and universities,Bequest,"$2,000,000 "
2016,John V. Bossi,Kansas,Agriculture,U. of Kansas (Lawrence),Kansas,Colleges and universities,Bequest,"$2,000,000 "
2016,Tony and Renee Marlon Charitable Foundation (Anthony M. and Renee Marlon),Nevada,Health care,U. of Nevada at Las Vegas Foundation,Nevada,Colleges and universities,Gift,"$2,000,000 "
2016,Brian and Kathy Stevens,Massachusetts,Family wealth,Special People Special Needs Foundation (Denver),Colorado,Human and social services,Gift,"$2,000,000 "
2016,Sigmund M. Hyman Foundation (Mary Hyman),Maryland,Finance,Loyola U. Maryland (Baltimore),Maryland,Colleges and universities,Pledge,"$2,000,000 "
