,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions
6681,100.0,362547,Paul Anderson Youth Home,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10268,Vidalia,nan,71532.0,3.14,Board Vice Chair,-181751.0,92.6,229307,2770820,"Human Services : Youth Development, Shelter, and Crisis Services ",350549.0,94.76,0,1679829,GA,1508663
6682,89.0,167445,Paul's Place,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12237,Baltimore,nan,149009.0,4.53,Executive Director,-61033.0,88.6,506984,5780199,Human Services : Homeless Services ,209318.0,88.79,0,2612688,MD,3016766
6683,89.0,452419,Paul Taylor Dance Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9275,New York,nan,187253.0,2.03,Executive Director,-3272475.0,95.0,808831,7216042,"Arts, Culture, Humanities : Performing Arts ",79184.0,91.45,0,7950066,NY,3622925
6684,89.0,5383660,Patient Services Incorporated,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7168,Midlothian,nan,628558.0,0.57,President,-14665120.0,100.0,1076379,105646424,Health : Patient and Family Support ,427882.0,92.22,0,103631772,VA,94998809
6685,85.0,931858,"Patrick Henry Family Services, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7647,Lynchburg,nan,105000.0,2.04,Executive Director,-628150.0,86.11,566924,46813989,"Human Services : Youth Development, Shelter, and Crisis Services ",2559271.0,85.54,0,3637704,VA,1170790
6686,85.0,394333,Pathways.org,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15352,Glenview,nan,,,nan,267615.0,87.56,69104,989051,Health : Treatment and Prevention Services ,54822.0,86.22,0,2778894,IL,2328067
6687,96.0,1194927,Patient Advocate Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12466,Hampton,nan,163534.0,0.23,Executive Director,91746276.0,97.5,1169671,170193997,Health : Patient and Family Support ,712057.0,96.66,0,66863193,VA,156959512
6688,96.0,253657,PATH (People Attempting to Help),https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12485,Tyler,nan,84660.0,3.78,Executive Director,-449486.0,98.04,106832,4218829,Human Services : Social Services ,-217613.0,96.85,0,1878049,TX,2006665
6689,66.0,199512,Patriot Paws Service Dogs,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17615,Rockwall,nan,99318.0,6.98,Executive Director,2251583.0,89.21,120443,3411459,"Animals : Animal Rights, Welfare, and Services ",12234.0,74.77,0,1102156,TX,3661460
6690,97.0,10689845,Pathfinder International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4306,Watertown,nan,405228.0,0.3,President,-2328238.0,87.5,3437679,28574398,International : Development and Relief Services ,535440.0,90.91,0,118395164,MA,129659010
6691,100.0,46819702,PATH,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17560,Seattle,nan,607729.0,0.21,President & CEO,-6154098.0,86.1,3575067,571504801,"International : Development and Relief Services ,This rating represents consolidated financial data for these organizations:",5170980.0,90.17,0,238707389,WA,277752285
6692,100.0,341788,PATH Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9611,Atlanta,nan,345183.0,1.8,Executive Director,-1814620.0,100.0,306641,14752192,Environment : Environmental Protection and Conservation ,44752.0,100.0,0,18437996,GA,17227053
6693,100.0,158202,Pat Tillman Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13188,Chicago,nan,25000.0,0.78,Chief Executive Officer,182358.0,87.94,470799,2650424,Human and Civil Rights : Advocacy and Education ,28282.0,91.47,0,2555691,IL,3338768
6694,100.0,327689,Paterson Habitat for Humanity,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9897,Paterson,nan,85999.0,3.16,Executive Director,3180277.0,82.5,284704,8469496,Community Development : Housing and Neighborhood Development ,47340.0,87.62,0,2104431,NJ,2756926
6695,92.0,458740,Pastoral Leadership Institute,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14130,Wheaton,nan,75420.0,5.26,Executive Co-Leader,-117250.0,58.82,254025,799651,Religion : Religious Activities ,3888.0,70.33,0,720748,IL,988054
6696,89.0,919260,Pastoral Institute,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14574,Columbus,nan,129811.0,3.41,CEO,-183838.0,79.45,118848,21318452,Human Services : Social Services ,780852.0,83.51,0,2761336,GA,819978
6697,93.0,219647,Pasado's Safe Haven,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6634,Sultan,nan,107492.0,4.08,Executive Director,-483921.0,96.1,256074,4170000,"Animals : Animal Rights, Welfare, and Services ",101044.0,94.33,0,2154239,WA,1902149
6698,97.0,2057464,Partnership With Native Americans,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6293,Addison,nan,256975.0,0.54,"President, CEO",-2591822.0,67.07,17287804,19335989,Human Services : Social Services ,694923.0,76.61,0,27934484,TX,43993007
6699,96.0,854844,Pasadena Humane Society & SPCA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8841,Pasadena,nan,192845.0,1.99,"President, CEO",5810722.0,87.71,800883,35311960,"Animals : Animal Rights, Welfare, and Services ",1339666.0,90.86,0,7992899,CA,10366232
6700,89.0,402107,Pasadena Conservatory of Music,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16004,Pasadena,nan,130950.0,4.37,Executive Director,-36964.0,94.91,182802,9819499,"Arts, Culture, Humanities : Performing Arts ",-15967.0,91.42,0,2405752,CA,907787
6701,81.0,489302,Partnership for the Homeless,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11933,New York,nan,211872.0,5.78,President,743362.0,74.95,513433,2638776,Human Services : Homeless Services ,-76850.0,77.76,0,2659195,NY,4482142
6702,100.0,468873,Partnership for Public Service,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10008,Washington,nan,455000.0,2.57,President & Chief Executive Officer,-774168.0,95.0,1101697,17031422,Research and Public Policy : Social and Public Policy Research ,890825.0,96.46,0,16100891,DC,6879457
6703,54.0,55796,Partnership for Learning,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8880,Seattle,nan,,,President,265302.0,100.0,30510,1145465,Education : Education Policy and Reform ,60.0,67.47,0,849363,WA,1200911
6704,96.0,192816,Partnership for After School Education,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6754,New York,nan,108568.0,6.51,Executive Director,-109321.0,72.16,243733,326184,Education : Youth Education Programs and Services ,-78911.0,80.11,0,1230511,NY,1546941
6705,96.0,480528,Partnership for Drug-Free Kids,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4301,New York,nan,253500.0,3.83,President & CEO,-2303947.0,87.24,494026,10074885,Health : Treatment and Prevention Services ,454359.0,90.54,0,5629000,NY,3845248
6706,81.0,687031,Partnership for Excellence in Jewish Education,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15592,Boston,nan,125600.0,4.12,Executive Director,-1040422.0,74.34,30686,1205589,Education : Scholarship and Financial Support ,3838.0,77.42,0,2327006,MA,1590290
6707,93.0,356525,Partnership Against Domestic Violence,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12605,Atlanta,nan,8077.0,0.26,President And CEO,-71243.0,93.55,363966,7299206,Human Services : Social Services ,-33893.0,93.26,0,2370929,GA,3047740
6708,96.0,1370805,Partnership with Children,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11063,New York,nan,257781.0,2.16,Executive Director,-61129.0,94.82,588308,6717377,Education : Youth Education Programs and Services ,76835.0,95.37,0,9928934,NY,11512009
6709,100.0,350599,Partners Worldwide,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6162,Grand Rapids,nan,106661.0,2.22,"President, CEO",-117118.0,91.34,485693,12703205,International : Development and Relief Services ,171596.0,93.87,0,3960485,MI,4466800
6710,92.0,9498340,Partners In Health,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4884,Boston,nan,93478.0,0.06,Chief Executive Officer,-36155290.0,95.0,4198916,66638781,International : Development and Relief Services ,1295243.0,93.32,0,131525227,MA,107681982
