accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions
77.00,"$84,520",Kentucky Museum of Art and Craft,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9017, '\r\n\t\t\tLouisville,,"$95,000",9.62%,Executive Director,"$-158,260",76.24,"$211,987","$6,010,041","Arts, Culture, Humanities : Museums ","$-25,648",76.61,$0,"$690,593",KY,"$742,948"
96.00,"$263,969",Kentucky Horse Park Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8698, '\r\n\t\t\tLexington,,None reported\r\n                 ,--\r\n                 ,,"$388,064",62.58,"$296,645","$6,967,114","Animals : Animal Rights, Welfare, and Services ","$471,181",73.38,$0,"$510,745",KY,"$988,242"
82.00,"$153,901",Kentucky Coalition,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14425, '\r\n\t\t\tLondon,,,--\r\n                 ,Executive Director,"$-152,268",96.53,"$90,095","$3,699,322",Human and Civil Rights : Advocacy and Education ,"$446,788",87.03,$0,"$1,850,098",KY,"$1,362,837"
89.00,"$69,871",Kentucky Bar Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14431, '\r\n\t\t\tFrankfort,,,--\r\n                 ,Executive Director,"$5,400,977",100.00,"$30,867","$11,670,282","Human and Civil Rights : Advocacy and Education , ","$6,218,774",92.22,$0,"$1,536,125",KY,"$819,066"
73.00,"$260,745",Kentucky 4-H Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15247, '\r\n\t\t\tLexington,,None reported\r\n                 ,--\r\n                 ,,"$264,203",96.72,"$22,174","$4,371,186","Human Services : Youth Development, Shelter, and Crisis Services ","$162,542",80.76,$0,"$1,095,328",KY,"$746,028"
92.00,"$242,441",Kempe Foundation for the Prevention and Treatment of Child Abuse and Neglect,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10430, ' Aurora,,"$115,000",4.57%,President/CEO,"$-445,923",80.90,"$348,719","$10,956,120",Human Services : Children's and Family Services ,"$89,137",85.35,$0,"$1,921,785",CO,"$1,302,524"
85.00,"$91,884",Kelly Anne Dolan Memorial Fund,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9409, ' Fort Washington,,"$73,804",9.22%,Executive Director,"$-217,201",85.82,"$102,684","$932,230",Health : Patient and Family Support ,"$36,341",85.40,$0,"$605,331",PA,"$546,357"
96.00,"$107,556",Keep Pennsylvania Beautiful,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13983, ' Greensburg,,"$85,089",9.00%,President,"$45,451",87.50,"$22,779","$480,497",Environment : Environmental Protection and Conservation ,"$7,513",90.71,$0,"$814,938",PA,"$558,605"
96.00,"$83,064",Keepers of the Wild,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15432, '\r\n\t\t\tValentine,,"$72,800",3.44%,President,"$-4,277",92.50,"$186,413","$1,941,834",Animals : Wildlife Conservation ,"$93,072",93.98,$0,"$1,845,311",AZ,"$1,810,146"
100.00,"$150,112",Kent Animal Shelter,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16781, '\r\n\t\t\tCalverton,,"$85,407",7.46%,Executive Director,$-218,86.32,"$66,762","$5,039,374","Animals : Animal Rights, Welfare, and Services ","$205,457",90.32,$0,"$926,583",NY,"$594,958"
93.00,"$509,660",Keep Indianapolis Beautiful,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6896, ' Indianapolis,,"$135,607",3.93%,President,"$-32,799",82.88,"$349,958","$3,592,545",Environment : Environmental Protection and Conservation ,"$59,953",86.92,$0,"$2,588,635",IN,"$1,939,181"
100.00,"$738,316",Keep America Beautiful,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4939, '\r\n\t\t\tStamford,,"$320,306",3.81%,"President, Chief Executive Officer","$427,911",81.29,"$995,026","$7,394,128",Community Development : Housing and Neighborhood Development ,"$131,354",86.77,$0,"$6,653,321",CT,"$8,359,562"
96.00,"$2,540,286",KCTS Television,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3967, '\r\n\t\t\tSeattle,,"$323,068",1.93%,"President, CEO","$3,128,540",70.18,"$4,434,741","$21,485,958","Arts, Culture, Humanities : Public Broadcasting and Media ","$3,977,132",78.72,$0,"$9,694,882",WA,"$15,650,900"
100.00,"$292,907",Keep a Child Alive,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12359, ' New York,,"$195,000",4.46%,CEO,"$323,164",94.21,"$402,594","$2,749,314",International : Development and Relief Services ,"$-667,784",95.90,$0,"$3,669,855",NY,"$5,356,304"
93.00,"$5,352,630",KCETLink,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3966, '\r\n\t\t\tBurbank,,"$513,943",1.93%,"President, CEO","$-7,212,557",64.09,"$5,557,886","$6,589,689","Arts, Culture, Humanities : Public Broadcasting and Media ","$3,190,990",74.12,$0,"$15,686,444",CA,"$16,193,413"
93.00,"$346,360",KCBX,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9444, '\r\n\t\t\tSan Luis Obispo,,,--\r\n                 ,"President, General Manager","$-54,906",77.97,"$57,517","$385,156","Arts, Culture, Humanities : Public Broadcasting and Media ","$45,093",83.65,$0,"$865,349",CA,"$817,961"
96.00,"$1,538,933",KCRW Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9289, '\r\n\t\t\tSanta Monica,,"$133,693",0.78%,"President, General Manager","$6,549,474",90.46,"$4,337,458","$41,205,725","Arts, Culture, Humanities : Public Broadcasting and Media ","$619,601",92.68,$0,"$11,262,601",CA,"$22,427,378"
89.00,"$438,078",Kaufman Music Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8039, '\r\n\t\t\tNew York,,"$361,350",3.89%,Executive Director,"$-336,198",85.49,"$1,048,863","$24,061,156",Education : Youth Education Programs and Services ,"$460,506",87.12,$0,"$7,790,196",NY,"$3,559,971"
89.00,"$60,529",KC Healthy Kids,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17277, ' Kansas City,,"$107,500",8.78%,President,"$-151,434",89.42,"$135,883","$1,972,932",Human Services : Children's and Family Services ,"$43,790",89.20,$0,"$1,026,866",KS,"$975,642"
89.00,"$168,688",Katy Christian Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16828, '\r\n\t\t\tKaty,,"$71,966",4.32%,Executive Director,"$158,496",80.00,"$33,759","$289,360",Human Services : Social Services ,"$-7,123",83.85,$0,"$1,461,243",TX,"$1,829,309"
89.00,"$1,839,619",Kauffman Center for the Performing Arts,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15788, '\r\n\t\t\tKansas City,,"$204,697",1.00%,"President, CEO","$-4,414,473",87.50,"$719,558","$326,757,729","Arts, Culture, Humanities : Performing Arts ","$2,229,530",88.22,$0,"$17,824,755",MO,"$8,951,961"
93.00,"$647,923",Kappa Kappa Gamma Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6906, '\r\n\t\t\tColumbus,,,--\r\n                 ,Executive Director,"$-177,647",76.55,"$955,276","$42,118,609","Education : Scholarship and Financial Support , ","$312,786",82.69,$0,"$2,113,651",OH,"$3,163,172"
89.00,"$9,316,249",Jewish Federations of North America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4609, ' New York,,"$636,559",0.23%,"President, CEO","$-777,408",87.50,"$1,966,123","$108,006,294","Community Development : Jewish Federations , ","$-215,753",88.22,$0,"$263,527,285",NY,"$261,489,843"
89.00,"$161,618",Karen Ann Quinlan Charitable Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13505, '\r\n\t\t\tNewton,,,--\r\n                 ,President,"$425,064",0.00,"$140,849","$9,593,969","Health : Patient and Family Support , ","$304,898",28.86,$0,"$57,591",NJ,"$480,224"
96.00,"$452,846",Jewish Federation of the Lehigh Valley,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10024, '\r\n\t\t\tAllentown,,"$194,964",5.79%,Executive Director,"$-464,571",79.09,"$314,165","$15,924,772","Community Development : Jewish Federations , ","$224,400",84.94,$0,"$2,599,784",PA,"$2,677,824"
89.00,"$134,240",Jewish Federation of the Berkshires,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15565, '\r\n\t\t\tPittsfield,,"$97,341",9.50%,Executive Director,"$65,318",78.46,"$169,471","$2,764,547","Community Development : Jewish Federations , ","$105,001",82.89,$0,"$720,432",MA,"$897,221"
59.00,"$130,516",Katahdin Productions,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15952, ' Los Angeles,,None reported\r\n                 ,--\r\n                 ,President,"$754,978",87.50,"$37,136","$1,351,861","Arts, Culture, Humanities : Public Broadcasting and Media ","$2,827",69.69,$0,"$1,155,131",CA,"$1,998,048"
89.00,"$253,605",Kansas University Alumni Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13462, '\r\n\t\t\tLawrence,,"$97,194",1.73%,"President, CEO","$176,634",81.72,"$622,484","$21,188,782",Education : Scholarship and Financial Support ,"$1,323,108",84.91,$0,"$4,713,507",KS,"$3,847,931"
85.00,"$872,347",Jewish Federation of South Palm Beach County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3945, '\r\n\t\t\tBoca Raton,,"$253,715",1.15%,Chief Executive Officer,"$1,398,474",97.50,"$2,083,103","$94,378,778","Community Development : Jewish Federations , ","$2,772,520",89.24,$0,"$19,042,329",FL,"$18,227,795"
100.00,"$55,200","Jewish Federation of Somerset, Hunterdon & Warren Counties",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5049, '\r\n\t\t\tBridgewater,,"$73,274",7.70%,Executive Director,"$35,616",72.94,"$150,081","$1,491,032","Community Development : Jewish Federations , ","$337,503",80.86,$0,"$746,088",NJ,"$644,615"
96.00,"$673,418",Jewish Federation of Southern Arizona,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9293, '\r\n\t\t\tTucson,,"$221,295",4.13%,"President, CEO","$-56,112",86.56,"$428,090","$15,874,686","Community Development : Jewish Federations , ","$-26,036",90.08,$0,"$4,245,113",AZ,"$4,816,193"
96.00,"$2,035,671",Jewish Federation of St. Louis,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3946, '\r\n\t\t\tSt. Louis,,"$302,602",1.64%,"President, CEO","$-398,133",80.73,"$2,131,017","$77,430,105","Community Development : Jewish Federations , ","$3,889,233",86.08,$0,"$14,238,689",MO,"$13,926,450"
89.00,"$438,929",Jewish Federation of Sarasota-Manatee,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10091, ' Sarasota,,"$184,103",3.74%,Executive Director,"$-346,674",84.22,"$554,317","$23,496,032","Community Development : Jewish Federations , ","$425,109",86.39,$0,"$3,919,918",FL,"$3,905,568"
97.00,"$486,434",Jewish Federation of San Diego County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3550, '\r\n\t\t\tSan Diego,,"$229,570",2.87%,"President, CEO","$-914,789",85.88,"$841,881","$8,362,612","Community Development : Jewish Federations , ","$261,527",89.79,$0,"$6,658,744",CA,"$6,538,791"
89.00,"$503,284",Jewish Federation of San Antonio,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15917, ' San Antonio,,"$163,390",6.16%,"President, CEO","$-12,142",65.50,"$593,314","$17,933,850","Community Development : Jewish Federations , ","$62,843",74.39,$0,"$1,555,049",TX,"$2,353,114"
85.00,"$499,847",Jewish Federation of the Desert,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11524, ' Rancho Mirage,,"$171,150",6.31%,Chief Executive Officer,"$-347,943",81.25,"$248,810","$6,424,242","Community Development : Jewish Federations , ","$50,844",83.02,$0,"$1,963,417",CA,"$2,271,165"
96.00,"$405,025",Jewish Federation of Silicon Valley,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7424, ' Los Gatos,,"$222,181",2.55%,CEO,"$-2,766,417",100.00,"$339,532","$28,762,812","Community Development : Jewish Federations , ","$313,314",97.17,$0,"$7,934,566",CA,"$1,885,259"
85.00,"$76,079","The Jewish Federation of Pinellas & Pasco Counties, Florida",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11624, ' Largo,,"$93,404",9.45%,Executive Director,"$2,039,939",80.15,"$217,445","$4,462,078","Community Development : Jewish Federations , ","$7,775",82.40,$0,"$694,395",FL,"$3,020,083"
100.00,"$435,050",Jewish Federation of Omaha,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7054, '\r\n\t\t\tOmaha,,"$247,387",1.07%,Executive Director,"$-423,842",87.50,"$531,684","$23,794,689","Community Development : Jewish Federations , ","$227,715",91.16,$0,"$22,031,215",NE,"$6,916,719"
89.00,"$152,036",Jewish Federation of Rockland County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9367, '\r\n\t\t\tWest Nyack,,None reported\r\n                 ,--\r\n                 ,,"$-116,343",91.12,"$81,344","$1,540,053","Community Development : Jewish Federations , ","$45,017",90.00,$0,"$870,292",NY,"$725,845"
92.00,"$1,320,934",Jewish Federation of Palm Beach County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3944, '\r\n\t\t\tWest Palm Beach,,"$121,917",0.49%,President & CEO,"$1,020,818",78.45,"$4,138,462","$102,525,268","Community Development : Jewish Federations , ","$2,794,093",83.74,$0,"$19,022,091",FL,"$22,583,747"
